Area,Consumption Segment,Country,"Sector, Category or Product",name,Value
Rural,Lowest,Bhutan,"Coffee, Tea and Cocoa",$PPP,2.384594135
Rural,Lowest,Bhutan,"Coffee, Tea and Cocoa",Local Currency,52.68522281
Rural,Low,Bhutan,"Coffee, Tea and Cocoa",US$,1.186233279
Rural,Low,Bhutan,"Coffee, Tea and Cocoa",$PPP,2.455042225
Rural,Low,Bhutan,"Coffee, Tea and Cocoa",Local Currency,54.24170291
Rural,All,Bhutan,"Coffee, Tea and Cocoa",US$,2.466362001
Rural,All,Bhutan,"Coffee, Tea and Cocoa",$PPP,5.104411552
Rural,All,Bhutan,"Coffee, Tea and Cocoa",Local Currency,112.7768688
Urban,Higher,Bhutan,"Coffee, Tea and Cocoa",US$,0.038699013
Urban,Higher,Bhutan,"Coffee, Tea and Cocoa",$PPP,0.080091927
Urban,Higher,Bhutan,"Coffee, Tea and Cocoa",Local Currency,1.769551044
Urban,Middle,Bhutan,"Coffee, Tea and Cocoa",US$,0.564276306
Urban,Middle,Bhutan,"Coffee, Tea and Cocoa",$PPP,1.167832821
Urban,Middle,Bhutan,"Coffee, Tea and Cocoa",Local Currency,25.80209835
Urban,Lowest,Bhutan,"Coffee, Tea and Cocoa",US$,0.098275564
Urban,Lowest,Bhutan,"Coffee, Tea and Cocoa",$PPP,0.203392253
Urban,Lowest,Bhutan,"Coffee, Tea and Cocoa",Local Currency,4.493748442
Urban,Low,Bhutan,"Coffee, Tea and Cocoa",US$,1.111249497
Urban,Low,Bhutan,"Coffee, Tea and Cocoa",$PPP,2.299854915
Urban,Low,Bhutan,"Coffee, Tea and Cocoa",Local Currency,50.81299449
Urban,All,Bhutan,"Coffee, Tea and Cocoa",US$,1.812500314
Urban,All,Bhutan,"Coffee, Tea and Cocoa",$PPP,3.751171783
